"left_out_study","estimate","ci_lb","ci_ub"
"benvenutti_2021",0.155217001554981,-0.159811529478003,0.470245532587965
"donahue_2014",0.183290584774005,-0.127262139067708,0.493843308615718
"fujihara_2021",0.219211578489244,-0.0977807930075074,0.536203949985996
"garcia-carachure_2020",0.146178392955106,-0.157403763400538,0.44976054931075
"giongo_2023",0.155949947718899,-0.154851868957749,0.466751764395546
"gururajan_2012",0.0436387939135244,-0.233536275717227,0.320813863544276
"hanks_2013",0.263982654042677,-0.036025136929785,0.563990445015139
"kordas_2020",0.186070939410721,-0.157041057661027,0.529182936482469
"perdikaris_2022",0.225685337169625,-0.0965711663816559,0.547941840720907
"ramsey_2011",0.229799877001733,-0.0792340844010413,0.538833838404507
"xiao_2019",0.199560439972644,-0.11246283397051,0.511583713915798
